film_id,film_title,film_episode_id,film_opening_crawl,film_director,film_producer,film_release_date,film_characters,film_planets_001,film_planets_002,film_planets_003,film_starships_001,film_starships_002,film_starships_003,film_starships_004,film_starships_005,film_starships_006,film_starships_007,film_starships_008,film_vehicles_001,film_vehicles_002,film_vehicles_003,film_vehicles_004,film_species_001,film_species_002,film_species_003,film_species_004,film_species_005,film_created,film_edited,film_url,film_planets_004,film_starships_009,film_vehicles_005,film_vehicles_006,film_vehicles_007,film_vehicles_008,film_planets_005,film_starships_010,film_starships_011,film_starships_012,film_species_006,film_species_007,film_species_008,film_species_009,film_species_010,film_species_011,film_species_012,film_species_013,film_species_014,film_species_015,film_species_016,film_species_017,film_species_018,film_species_019,film_species_020,film_vehicles_009,film_vehicles_010,film_vehicles_011,film_vehicles_012,film_vehicles_013,film_planets_006,film_planets_007,film_planets_008,film_planets_009,film_planets_010,film_planets_011,film_planets_012,film_planets_013
1,A New Hope,4,"It is a period of civil war.\r\nRebel spaceships, striking\r\nfrom a hidden base, have won\r\ntheir first victory against\r\nthe evil Galactic Empire.\r\n\r\nDuring the battle, Rebel\r\nspies managed to steal secret\r\nplans to the Empire's\r\nultimate weapon, the DEATH\r\nSTAR, an armored space\r\nstation with enough power\r\nto destroy an entire planet.\r\n\r\nPursued by the Empire's\r\nsinister agents, Princess\r\nLeia races home aboard her\r\nstarship, custodian of the\r\nstolen plans that can save her\r\npeople and restore\r\nfreedom to the galaxy....",George Lucas,"Gary Kurtz, Rick McCallum",25/05/1977,"http://swapi.dev/api/people/1/
http://swapi.dev/api/people/2/
http://swapi.dev/api/people/3/
http://swapi.dev/api/people/4/
http://swapi.dev/api/people/5/
http://swapi.dev/api/people/6/
http://swapi.dev/api/people/7/
http://swapi.dev/api/people/8/
http://swapi.dev/api/people/9/
http://swapi.dev/api/people/10/
http://swapi.dev/api/people/12/
http://swapi.dev/api/people/13/
http://swapi.dev/api/people/14/
http://swapi.dev/api/people/15/
http://swapi.dev/api/people/16/
http://swapi.dev/api/people/18/
http://swapi.dev/api/people/19/
http://swapi.dev/api/people/81/",http://swapi.dev/api/planets/1/,http://swapi.dev/api/planets/2/,http://swapi.dev/api/planets/3/,http://swapi.dev/api/starships/2/,http://swapi.dev/api/starships/3/,http://swapi.dev/api/starships/5/,http://swapi.dev/api/starships/9/,http://swapi.dev/api/starships/10/,http://swapi.dev/api/starships/11/,http://swapi.dev/api/starships/12/,http://swapi.dev/api/starships/13/,http://swapi.dev/api/vehicles/4/,http://swapi.dev/api/vehicles/6/,http://swapi.dev/api/vehicles/7/,http://swapi.dev/api/vehicles/8/,http://swapi.dev/api/species/1/,http://swapi.dev/api/species/2/,http://swapi.dev/api/species/3/,http://swapi.dev/api/species/4/,http://swapi.dev/api/species/5/,2014-12-10T14:23:31.880000Z,2014-12-20T19:49:45.256000Z,http://swapi.dev/api/films/1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,The Empire Strikes Back,5,"It is a dark time for the\r\nRebellion. Although the Death\r\nStar has been destroyed,\r\nImperial troops have driven the\r\nRebel forces from their hidden\r\nbase and pursued them across\r\nthe galaxy.\r\n\r\nEvading the dreaded Imperial\r\nStarfleet, a group of freedom\r\nfighters led by Luke Skywalker\r\nhas established a new secret\r\nbase on the remote ice world\r\nof Hoth.\r\n\r\nThe evil lord Darth Vader,\r\nobsessed with finding young\r\nSkywalker, has dispatched\r\nthousands of remote probes into\r\nthe far reaches of space....",Irvin Kershner,"Gary Kurtz, Rick McCallum",17/05/1980,"http://swapi.dev/api/people/1/
http://swapi.dev/api/people/2/
http://swapi.dev/api/people/3/
http://swapi.dev/api/people/4/
http://swapi.dev/api/people/5/
http://swapi.dev/api/people/10/
http://swapi.dev/api/people/13/
http://swapi.dev/api/people/14/
http://swapi.dev/api/people/18/
http://swapi.dev/api/people/20/
http://swapi.dev/api/people/21/
http://swapi.dev/api/people/22/
http://swapi.dev/api/people/23/
http://swapi.dev/api/people/24/
http://swapi.dev/api/people/25/
http://swapi.dev/api/people/26/",http://swapi.dev/api/planets/4/,http://swapi.dev/api/planets/5/,http://swapi.dev/api/planets/6/,http://swapi.dev/api/starships/3/,http://swapi.dev/api/starships/10/,http://swapi.dev/api/starships/11/,http://swapi.dev/api/starships/12/,http://swapi.dev/api/starships/15/,http://swapi.dev/api/starships/17/,http://swapi.dev/api/starships/21/,http://swapi.dev/api/starships/22/,http://swapi.dev/api/vehicles/8/,http://swapi.dev/api/vehicles/14/,http://swapi.dev/api/vehicles/16/,http://swapi.dev/api/vehicles/18/,http://swapi.dev/api/species/1/,http://swapi.dev/api/species/2/,http://swapi.dev/api/species/3/,http://swapi.dev/api/species/6/,http://swapi.dev/api/species/7/,2014-12-12T11:26:24.656000Z,2014-12-15T13:07:53.386000Z,http://swapi.dev/api/films/2/,http://swapi.dev/api/planets/27/,http://swapi.dev/api/starships/23/,http://swapi.dev/api/vehicles/19/,http://swapi.dev/api/vehicles/20/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Return of the Jedi,6,"Luke Skywalker has returned to\r\nhis home planet of Tatooine in\r\nan attempt to rescue his\r\nfriend Han Solo from the\r\nclutches of the vile gangster\r\nJabba the Hutt.\r\n\r\nLittle does Luke know that the\r\nGALACTIC EMPIRE has secretly\r\nbegun construction on a new\r\narmored space station even\r\nmore powerful than the first\r\ndreaded Death Star.\r\n\r\nWhen completed, this ultimate\r\nweapon will spell certain doom\r\nfor the small band of rebels\r\nstruggling to restore freedom\r\nto the galaxy...",Richard Marquand,"Howard G. Kazanjian, George Lucas, Rick McCallum",25/05/1983,"http://swapi.dev/api/people/1/
http://swapi.dev/api/people/2/
http://swapi.dev/api/people/3/
http://swapi.dev/api/people/4/
http://swapi.dev/api/people/5/
http://swapi.dev/api/people/10/
http://swapi.dev/api/people/13/
http://swapi.dev/api/people/14/
http://swapi.dev/api/people/16/
http://swapi.dev/api/people/18/
http://swapi.dev/api/people/20/
http://swapi.dev/api/people/21/
http://swapi.dev/api/people/22/
http://swapi.dev/api/people/25/
http://swapi.dev/api/people/27/
http://swapi.dev/api/people/28/
http://swapi.dev/api/people/29/
http://swapi.dev/api/people/30/
http://swapi.dev/api/people/31/
http://swapi.dev/api/people/45/",http://swapi.dev/api/planets/1/,http://swapi.dev/api/planets/5/,http://swapi.dev/api/planets/7/,http://swapi.dev/api/starships/2/,http://swapi.dev/api/starships/3/,http://swapi.dev/api/starships/10/,http://swapi.dev/api/starships/11/,http://swapi.dev/api/starships/12/,http://swapi.dev/api/starships/15/,http://swapi.dev/api/starships/17/,http://swapi.dev/api/starships/22/,http://swapi.dev/api/vehicles/8/,http://swapi.dev/api/vehicles/16/,http://swapi.dev/api/vehicles/18/,http://swapi.dev/api/vehicles/19/,http://swapi.dev/api/species/1/,http://swapi.dev/api/species/2/,http://swapi.dev/api/species/3/,http://swapi.dev/api/species/5/,http://swapi.dev/api/species/6/,2014-12-18T10:39:33.255000Z,2014-12-20T09:48:37.462000Z,http://swapi.dev/api/films/3/,http://swapi.dev/api/planets/8/,http://swapi.dev/api/starships/23/,http://swapi.dev/api/vehicles/24/,http://swapi.dev/api/vehicles/25/,http://swapi.dev/api/vehicles/26/,http://swapi.dev/api/vehicles/30/,http://swapi.dev/api/planets/9/,http://swapi.dev/api/starships/27/,http://swapi.dev/api/starships/28/,http://swapi.dev/api/starships/29/,http://swapi.dev/api/species/8/,http://swapi.dev/api/species/9/,http://swapi.dev/api/species/10/,http://swapi.dev/api/species/15/,,,,,,,,,,,,,,,,,,,,,,,,
4,The Phantom Menace,1,"Turmoil has engulfed the\r\nGalactic Republic. The taxation\r\nof trade routes to outlying star\r\nsystems is in dispute.\r\n\r\nHoping to resolve the matter\r\nwith a blockade of deadly\r\nbattleships, the greedy Trade\r\nFederation has stopped all\r\nshipping to the small planet\r\nof Naboo.\r\n\r\nWhile the Congress of the\r\nRepublic endlessly debates\r\nthis alarming chain of events,\r\nthe Supreme Chancellor has\r\nsecretly dispatched two Jedi\r\nKnights, the guardians of\r\npeace and justice in the\r\ngalaxy, to settle the conflict....",George Lucas,Rick McCallum,19/05/1999,"http://swapi.dev/api/people/2/
http://swapi.dev/api/people/3/
http://swapi.dev/api/people/10/
http://swapi.dev/api/people/11/
http://swapi.dev/api/people/16/
http://swapi.dev/api/people/20/
http://swapi.dev/api/people/21/
http://swapi.dev/api/people/32/
http://swapi.dev/api/people/33/
http://swapi.dev/api/people/34/
http://swapi.dev/api/people/35/
http://swapi.dev/api/people/36/
http://swapi.dev/api/people/37/
http://swapi.dev/api/people/38/
http://swapi.dev/api/people/39/
http://swapi.dev/api/people/40/
http://swapi.dev/api/people/41/
http://swapi.dev/api/people/42/
http://swapi.dev/api/people/43/
http://swapi.dev/api/people/44/
http://swapi.dev/api/people/46/
http://swapi.dev/api/people/47/
http://swapi.dev/api/people/48/
http://swapi.dev/api/people/49/
http://swapi.dev/api/people/50/
http://swapi.dev/api/people/51/
http://swapi.dev/api/people/52/
http://swapi.dev/api/people/53/
http://swapi.dev/api/people/54/
http://swapi.dev/api/people/55/
http://swapi.dev/api/people/56/
http://swapi.dev/api/people/57/
http://swapi.dev/api/people/58/
http://swapi.dev/api/people/59/",http://swapi.dev/api/planets/1/,http://swapi.dev/api/planets/8/,http://swapi.dev/api/planets/9/,http://swapi.dev/api/starships/31/,http://swapi.dev/api/starships/32/,http://swapi.dev/api/starships/39/,http://swapi.dev/api/starships/40/,http://swapi.dev/api/starships/41/,,,,http://swapi.dev/api/vehicles/33/,http://swapi.dev/api/vehicles/34/,http://swapi.dev/api/vehicles/35/,http://swapi.dev/api/vehicles/36/,http://swapi.dev/api/species/1/,http://swapi.dev/api/species/2/,http://swapi.dev/api/species/6/,http://swapi.dev/api/species/11/,http://swapi.dev/api/species/12/,2014-12-19T16:52:55.740000Z,2014-12-20T10:54:07.216000Z,http://swapi.dev/api/films/4/,,,http://swapi.dev/api/vehicles/37/,http://swapi.dev/api/vehicles/38/,http://swapi.dev/api/vehicles/42/,,,,,,http://swapi.dev/api/species/13/,http://swapi.dev/api/species/14/,http://swapi.dev/api/species/15/,http://swapi.dev/api/species/16/,http://swapi.dev/api/species/17/,http://swapi.dev/api/species/18/,http://swapi.dev/api/species/19/,http://swapi.dev/api/species/20/,http://swapi.dev/api/species/21/,http://swapi.dev/api/species/22/,http://swapi.dev/api/species/23/,http://swapi.dev/api/species/24/,http://swapi.dev/api/species/25/,http://swapi.dev/api/species/26/,http://swapi.dev/api/species/27/,,,,,,,,,,,,,
5,Attack of the Clones,2,"There is unrest in the Galactic\r\nSenate. Several thousand solar\r\nsystems have declared their\r\nintentions to leave the Republic.\r\n\r\nThis separatist movement,\r\nunder the leadership of the\r\nmysterious Count Dooku, has\r\nmade it difficult for the limited\r\nnumber of Jedi Knights to maintain \r\npeace and order in the galaxy.\r\n\r\nSenator Amidala, the former\r\nQueen of Naboo, is returning\r\nto the Galactic Senate to vote\r\non the critical issue of creating\r\nan ARMY OF THE REPUBLIC\r\nto assist the overwhelmed\r\nJedi....",George Lucas,Rick McCallum,16/05/2002,"http://swapi.dev/api/people/2/
http://swapi.dev/api/people/3/
http://swapi.dev/api/people/6/
http://swapi.dev/api/people/7/
http://swapi.dev/api/people/10/
http://swapi.dev/api/people/11/
http://swapi.dev/api/people/20/
http://swapi.dev/api/people/21/
http://swapi.dev/api/people/22/
http://swapi.dev/api/people/33/
http://swapi.dev/api/people/35/
http://swapi.dev/api/people/36/
http://swapi.dev/api/people/40/
http://swapi.dev/api/people/43/
http://swapi.dev/api/people/46/
http://swapi.dev/api/people/51/
http://swapi.dev/api/people/52/
http://swapi.dev/api/people/53/
http://swapi.dev/api/people/58/
http://swapi.dev/api/people/59/
http://swapi.dev/api/people/60/
http://swapi.dev/api/people/61/
http://swapi.dev/api/people/62/
http://swapi.dev/api/people/63/
http://swapi.dev/api/people/64/
http://swapi.dev/api/people/65/
http://swapi.dev/api/people/66/
http://swapi.dev/api/people/67/
http://swapi.dev/api/people/68/
http://swapi.dev/api/people/69/
http://swapi.dev/api/people/70/
http://swapi.dev/api/people/71/
http://swapi.dev/api/people/72/
http://swapi.dev/api/people/73/
http://swapi.dev/api/people/74/
http://swapi.dev/api/people/75/
http://swapi.dev/api/people/76/
http://swapi.dev/api/people/77/
http://swapi.dev/api/people/78/
http://swapi.dev/api/people/82/",http://swapi.dev/api/planets/1/,http://swapi.dev/api/planets/8/,http://swapi.dev/api/planets/9/,http://swapi.dev/api/starships/21/,http://swapi.dev/api/starships/32/,http://swapi.dev/api/starships/39/,http://swapi.dev/api/starships/43/,http://swapi.dev/api/starships/47/,http://swapi.dev/api/starships/48/,http://swapi.dev/api/starships/49/,http://swapi.dev/api/starships/52/,http://swapi.dev/api/vehicles/4/,http://swapi.dev/api/vehicles/44/,http://swapi.dev/api/vehicles/45/,http://swapi.dev/api/vehicles/46/,http://swapi.dev/api/species/1/,http://swapi.dev/api/species/2/,http://swapi.dev/api/species/6/,http://swapi.dev/api/species/12/,http://swapi.dev/api/species/13/,2014-12-20T10:57:57.886000Z,2014-12-20T20:18:48.516000Z,http://swapi.dev/api/films/5/,http://swapi.dev/api/planets/10/,http://swapi.dev/api/starships/58/,http://swapi.dev/api/vehicles/50/,http://swapi.dev/api/vehicles/51/,http://swapi.dev/api/vehicles/53/,http://swapi.dev/api/vehicles/54/,http://swapi.dev/api/planets/11/,,,,http://swapi.dev/api/species/15/,http://swapi.dev/api/species/28/,http://swapi.dev/api/species/29/,http://swapi.dev/api/species/30/,http://swapi.dev/api/species/31/,http://swapi.dev/api/species/32/,http://swapi.dev/api/species/33/,http://swapi.dev/api/species/34/,http://swapi.dev/api/species/35/,,,,,,,http://swapi.dev/api/vehicles/55/,http://swapi.dev/api/vehicles/56/,http://swapi.dev/api/vehicles/57/,,,,,,,,,,
6,Revenge of the Sith,3,"War! The Republic is crumbling\r\nunder attacks by the ruthless\r\nSith Lord, Count Dooku.\r\nThere are heroes on both sides.\r\nEvil is everywhere.\r\n\r\nIn a stunning move, the\r\nfiendish droid leader, General\r\nGrievous, has swept into the\r\nRepublic capital and kidnapped\r\nChancellor Palpatine, leader of\r\nthe Galactic Senate.\r\n\r\nAs the Separatist Droid Army\r\nattempts to flee the besieged\r\ncapital with their valuable\r\nhostage, two Jedi Knights lead a\r\ndesperate mission to rescue the\r\ncaptive Chancellor....",George Lucas,Rick McCallum,19/05/2005,"""http://swapi.dev/api/people/1/"",
""http://swapi.dev/api/people/2/"",
""http://swapi.dev/api/people/3/"",
 ""http://swapi.dev/api/people/4/"",
 ""http://swapi.dev/api/people/5/"",
 ""http://swapi.dev/api/people/6/"",
 ""http://swapi.dev/api/people/7/"",
 ""http://swapi.dev/api/people/10/"",
 ""http://swapi.dev/api/people/11/"",
 ""http://swapi.dev/api/people/12/"",
 ""http://swapi.dev/api/people/13/"",
 ""http://swapi.dev/api/people/20/"",
 ""http://swapi.dev/api/people/21/"",
 ""http://swapi.dev/api/people/33/"",
 ""http://swapi.dev/api/people/35/"",
 ""http://swapi.dev/api/people/46/"",
 ""http://swapi.dev/api/people/51/"",
 ""http://swapi.dev/api/people/52/"",
 ""http://swapi.dev/api/people/53/"",
 ""http://swapi.dev/api/people/54/"",
 ""http://swapi.dev/api/people/55/"",
 ""http://swapi.dev/api/people/56/"",
 ""http://swapi.dev/api/people/58/"",
 ""http://swapi.dev/api/people/63/"",
 ""http://swapi.dev/api/people/64/"",
 ""http://swapi.dev/api/people/67/"",
 ""http://swapi.dev/api/people/68/"",
 ""http://swapi.dev/api/people/75/"",
 ""http://swapi.dev/api/people/78/"",
 ""http://swapi.dev/api/people/79/"",
 ""http://swapi.dev/api/people/80/"",
 ""http://swapi.dev/api/people/81/"",
 ""http://swapi.dev/api/people/82/"",
 ""http://swapi.dev/api/people/83/""",http://swapi.dev/api/planets/1/,http://swapi.dev/api/planets/2/,http://swapi.dev/api/planets/5/,http://swapi.dev/api/starships/2/,http://swapi.dev/api/starships/32/,http://swapi.dev/api/starships/48/,http://swapi.dev/api/starships/59/,http://swapi.dev/api/starships/61/,http://swapi.dev/api/starships/63/,http://swapi.dev/api/starships/64/,http://swapi.dev/api/starships/65/,http://swapi.dev/api/vehicles/33/,http://swapi.dev/api/vehicles/50/,http://swapi.dev/api/vehicles/53/,http://swapi.dev/api/vehicles/56/,http://swapi.dev/api/species/1/,http://swapi.dev/api/species/2/,http://swapi.dev/api/species/3/,http://swapi.dev/api/species/6/,http://swapi.dev/api/species/15/,2014-12-20T18:49:38.403000Z,2014-12-20T20:47:52.073000Z,http://swapi.dev/api/films/6/,http://swapi.dev/api/planets/8/,http://swapi.dev/api/starships/66/,http://swapi.dev/api/vehicles/60/,http://swapi.dev/api/vehicles/62/,http://swapi.dev/api/vehicles/67/,http://swapi.dev/api/vehicles/69/,http://swapi.dev/api/planets/9/,http://swapi.dev/api/starships/68/,http://swapi.dev/api/starships/74/,http://swapi.dev/api/starships/75/,http://swapi.dev/api/species/19/,http://swapi.dev/api/species/20/,http://swapi.dev/api/species/23/,http://swapi.dev/api/species/24/,http://swapi.dev/api/species/25/,http://swapi.dev/api/species/26/,http://swapi.dev/api/species/27/,http://swapi.dev/api/species/28/,http://swapi.dev/api/species/29/,http://swapi.dev/api/species/30/,http://swapi.dev/api/species/33/,http://swapi.dev/api/species/34/,http://swapi.dev/api/species/35/,http://swapi.dev/api/species/36/,http://swapi.dev/api/species/37/,http://swapi.dev/api/vehicles/70/,http://swapi.dev/api/vehicles/71/,http://swapi.dev/api/vehicles/72/,http://swapi.dev/api/vehicles/73/,http://swapi.dev/api/vehicles/76/,http://swapi.dev/api/planets/12/,http://swapi.dev/api/planets/13/,http://swapi.dev/api/planets/14/,http://swapi.dev/api/planets/15/,http://swapi.dev/api/planets/16/,http://swapi.dev/api/planets/17/,http://swapi.dev/api/planets/18/,http://swapi.dev/api/planets/19/
